timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1615922401770580,0,-2,-1,-6,-36,-11,0,-1
1615922401770580,2,3,17,12,38,5,-1,1
1615922401776563,-3,-4,-4,-3,7,-2,-5,-2
1615922401776563,-1,5,7,-2,-10,-1,-1,0
1615922401785540,-1,-4,-5,-5,-20,-1,-1,2
1615922401785540,-2,-8,-23,-8,0,3,-1,-2
1615922401799504,2,6,39,16,10,5,2,1
1615922401799504,0,1,-2,-8,-21,-9,6,0
1615922401806486,-1,2,15,14,9,0,-29,-3
1615922401806486,-2,-5,-16,-11,21,1,-4,-2
1615922401813465,-4,-5,-19,-7,19,3,-1,-4
1615922401813465,0,-1,14,5,-6,-1,7,2
1615922401822441,-1,-1,-8,1,-42,-7,3,0
1615922401822441,-1,-4,8,-2,-3,9,-2,1
1615922401845382,-1,-2,-4,4,41,-1,-5,-4
1615922401845382,1,4,-8,-1,-2,-4,-6,-2
1615922401846380,-3,-6,-9,-5,7,15,3,0
1615922401846380,2,8,24,11,-4,-22,-3,0
1615922401859343,-4,-7,-11,-4,8,-5,2,-2
1615922401859343,0,2,7,3,-13,-2,-5,0
1615922401866325,-2,1,1,-2,-10,-3,4,0
1615922401866325,0,-7,-12,-5,8,9,2,-1
1615922401874302,-1,3,7,0,10,-4,-1,0
1615922401874302,-2,-4,-3,-1,8,0,-4,-4
1615922401889264,-2,-5,-8,-4,-37,-6,0,-1
1615922401889264,-1,3,17,2,-29,2,-1,2
1615922401905220,4,1,-13,-1,-9,-8,2,3
1615922401905220,-4,-11,-31,-15,7,3,-4,-3
1615922401907241,2,5,4,7,33,2,9,-1
1615922401907241,-3,-5,-2,-6,-30,-10,-17,-6
1615922401920180,-3,-4,-8,-7,13,11,5,0
1615922401920180,1,4,5,6,10,-3,-2,0
1615922401926168,0,1,2,-3,1,-8,0,-3
1615922401926168,2,-2,-8,3,-8,4,3,2
1615922401934143,-1,0,-6,-4,4,6,-1,-1
1615922401934143,0,1,29,10,-27,1,-4,-2
1615922401943119,3,7,10,0,69,14,7,3
1615922401943119,-1,-4,-3,1,-11,-5,0,-2
1615922401964139,-4,0,-21,-3,-28,-4,-4,-3
1615922401964139,-1,2,-7,2,38,-14,0,1
1615922401973114,-2,3,32,8,-16,1,-3,-2
1615922401973114,-1,-2,-6,-3,4,2,2,-2
1615922401979099,2,-1,14,4,-11,-6,-3,2
1615922401979099,-3,-3,-15,-11,-10,8,0,0
1615922401986081,-2,0,-2,1,13,-4,-4,-3
1615922401986081,2,0,-8,-1,-9,-4,2,1
1615922402003060,0,-2,6,4,30,-5,-6,-2
1615922402003060,2,6,4,1,-5,11,5,1
1615922402004032,-2,-8,-16,-11,-6,-5,8,-3
1615922402004032,-4,-8,-12,1,-2,6,-14,-3
1615922402024976,2,10,34,8,13,7,4,3
1615922402024976,-1,-5,-11,-9,12,-2,-6,-2
1615922402026971,-6,-7,-20,-10,0,-21,-1,-3
1615922402026971,0,4,22,4,-34,-12,4,2
1615922402040002,-6,-7,-29,-7,9,1,-5,-4
1615922402040002,-3,-5,-7,2,-4,1,-2,-3
1615922402046019,1,3,11,0,8,4,-3,1
1615922402046019,-4,-5,-29,-8,12,5,0,-2
1615922402063149,0,7,40,10,31,-2,-2,-2
1615922402063149,-1,-4,4,-3,-14,-2,3,1
1615922402069135,-2,-6,-17,-5,-8,5,-3,1
1615922402069135,-2,-6,2,-6,24,-4,-2,-3
1615922402076140,1,-2,-8,1,2,5,3,0
1615922402076140,2,0,6,0,-12,-20,-4,2
1615922402085093,3,-1,0,4,15,-4,-6,-1
1615922402085093,1,0,-10,-10,8,5,2,0
1615922402100052,0,0,15,4,-42,-6,2,2
1615922402100052,0,2,5,4,-29,-2,3,0
1615922402108036,-5,-12,-10,-6,-37,-1,-5,-3
1615922402108036,2,11,4,1,3,3,5,1
1615922402122992,-3,-5,-16,-8,-11,-7,3,-1
1615922402122992,-1,-3,-4,1,-16,-1,-1,-1
1615922402123989,0,0,14,3,4,7,2,0
1615922402123989,-2,-3,-7,2,-10,3,3,0
1615922402135957,1,-2,-8,-4,-8,-10,-9,-1
1615922402135957,-4,-5,-10,-9,5,19,5,-4
1615922402144952,2,7,-14,6,20,-10,3,3
1615922402144952,-1,2,17,5,7,-6,-1,0
1615922402159918,-2,-4,-15,-7,-10,-4,-1,-3
1615922402159918,-2,-8,-14,-4,-42,-7,-6,-3
1615922402165877,1,3,7,3,83,16,-3,-1
1615922402165877,-1,-6,-19,-7,-36,-3,1,-2
1615922402182832,1,-1,-6,-2,-13,-3,1,0
1615922402182832,1,3,-4,-3,42,1,8,-1
1615922402183853,-2,0,22,8,-21,-3,-21,-4
1615922402183853,1,-3,-7,4,3,-6,3,2
1615922402195824,-2,-1,-7,-7,-1,14,1,-1
1615922402195824,-3,-3,2,-2,3,-29,-5,-4
1615922402205773,4,7,0,2,28,12,6,2
1615922402205773,-2,-4,-5,-10,4,4,-3,-2
1615922402219759,-7,-5,-1,1,11,-5,-5,-4
1615922402219759,0,4,13,8,10,2,0,1
1615922402226714,-3,-7,-8,-11,3,-2,4,-1
1615922402226714,-3,-3,-16,-11,21,4,-1,-4
1615922402242672,2,1,28,19,-28,-10,1,1
1615922402242672,-2,0,-9,-7,27,1,-2,-1
1615922402244667,-3,-4,-2,-4,-8,3,0,0
1615922402244667,0,0,11,5,14,-3,-2,0
1615922402256679,1,-2,-14,-9,-6,-5,-1,1
1615922402256679,-2,-3,17,4,10,14,0,1
1615922402265638,-2,-1,4,3,-46,-18,0,-2
1615922402265638,-1,2,-15,-3,23,12,6,-1
1615922402279626,1,1,-5,5,-12,-6,-21,-1
1615922402279626,0,2,28,5,35,-1,-2,0
1615922402286581,1,1,2,-3,-1,3,3,-2
1615922402286581,-2,1,23,7,11,-1,0,-2
1615922402302541,2,-3,-18,-10,10,8,4,3
1615922402302541,1,-3,-5,-4,-51,-5,-2,-1
1615922402304534,2,3,-4,-3,-18,-9,-4,0
1615922402304534,0,1,7,7,0,0,2,-1
1615922402325477,1,-2,-3,-6,-7,-5,1,-1
1615922402325477,-3,-2,-5,-3,-4,2,-4,-2
1615922402326474,0,2,0,-6,-21,15,7,0
1615922402326474,-3,0,7,10,43,-2,-2,-1
1615922402339440,-2,-6,-12,-7,35,10,1,-4
1615922402339440,1,3,7,3,-13,-7,-5,0
1615922402346423,-3,-7,-6,-4,-21,4,-1,-2
1615922402346423,0,2,9,-1,-20,8,-3,-2
1615922402362380,0,0,6,0,4,4,2,0
1615922402362380,-5,-8,-40,-16,3,6,2,-2
1615922402364373,2,6,20,23,38,0,3,2
1615922402364373,0,1,-5,-5,-7,-1,-5,0
1615922402385318,-3,-3,-3,-2,-15,-12,6,-2
1615922402385318,4,2,1,5,-12,7,-3,0
1615922402386315,-2,-3,-10,-10,-39,-35,2,0
1615922402386315,-1,0,-7,0,53,8,0,1
1615922402398382,-3,2,2,-3,-13,0,0,0
1615922402398382,-1,-3,-11,-5,-11,3,3,2
1615922402408280,-3,-5,-6,0,0,1,-6,-3
1615922402408280,0,-3,-17,-11,-18,-7,-1,0
1615922402422242,1,4,14,11,-23,-10,-4,-1
1615922402422242,-1,-4,-21,-4,2,1,4,-1
1615922402424214,-3,-4,1,-6,16,1,-5,-1
1615922402424214,-1,-3,-12,-7,-55,-14,-6,-4
1615922402436338,1,-2,1,0,20,15,4,-1
1615922402436338,1,4,-3,2,-13,-36,-2,0
1615922402451322,-2,-4,-12,-7,-44,4,-4,0
1615922402451322,-1,-2,5,2,27,-3,3,0
1615922402459048,0,0,-6,-2,-7,0,6,-1
1615922402459048,-1,0,3,1,46,10,-13,-3
1615922402475006,0,3,-1,2,24,2,4,0
1615922402475006,-2,-2,-3,0,-36,-8,-3,-2
1615922402483009,-2,-5,-6,-4,-14,-4,6,1
1615922402483009,-5,-8,3,-4,11,1,-1,-5
1615922402484006,1,0,-24,-6,-7,-10,-4,0
1615922402484006,2,6,28,11,-7,2,2,2
1615922402496049,0,-4,-2,-1,9,-1,-5,-1
1615922402496049,1,1,0,-4,12,-14,0,2
1615922402504949,0,-1,-11,-5,-11,-3,-1,-1
1615922402504949,-1,1,13,6,-31,0,2,0
1615922402518913,0,-2,-17,-9,-6,-3,-4,-1
1615922402518913,0,3,20,11,-16,7,-2,-2
1615922402527865,0,-3,3,-5,-57,-3,2,-1
1615922402527865,0,2,-10,-9,-7,-5,-4,1
1615922402542844,-1,2,10,9,13,-1,0,-2
1615922402542844,-2,-4,-9,-7,2,6,2,1
1615922402544821,-2,0,6,1,22,13,-1,-3
1615922402544821,-2,-6,-2,2,-10,16,4,-1
1615922402556810,1,1,-11,-5,-53,-16,5,0
1615922402556810,1,3,7,2,33,6,-9,-1
1615922402571771,1,-3,7,10,11,3,1,-1
1615922402571771,0,-1,-4,-11,-3,-12,1,0
1615922402578757,-4,-5,9,6,15,4,5,-1
1615922402578757,4,1,-20,3,-9,7,4,2
1615922402587728,-1,-2,20,-4,14,0,-2,-4
1615922402587728,1,-2,3,-1,2,-4,-1,-3
1615922402602687,-3,-5,0,1,2,0,-5,-2
1615922402602687,0,0,-2,-3,-14,-3,0,0
1615922402604682,-3,-3,-14,-3,-3,3,-2,0
1615922402604682,-1,-3,-5,-3,-24,-30,-4,-3
1615922402616651,1,0,9,1,-5,5,-5,0
1615922402616651,-2,-3,-4,-7,14,5,1,-3
1615922402625627,-2,-1,8,3,8,-2,4,-1
1615922402625627,2,-3,-5,1,-1,7,-1,0
1615922402647677,-2,0,-14,-9,-16,-1,-3,-3
1615922402647677,-3,0,20,8,0,-3,-1,-1
1615922402649564,0,-2,-23,-4,-2,-1,-3,0
1615922402649564,1,1,16,4,10,9,-1,-1
1615922402662291,-2,-4,-7,-9,24,-3,-4,-2
1615922402662291,2,-2,5,6,-16,5,4,0
1615922402664261,-1,-1,6,1,-30,2,-1,-1
1615922402664261,-2,0,-9,-2,5,-1,0,-1
1615922402676228,0,4,-4,-5,19,3,-1,1
1615922402676228,-5,-1,4,-2,-26,1,2,-2
1615922402685205,0,0,-7,2,5,-2,-2,1
1615922402685205,-2,-3,-9,-11,5,-6,-1,0
1615922402699301,0,-1,18,13,-9,-2,-2,0
1615922402699301,-3,-3,-20,-2,-12,-4,1,-1
1615922402708277,-1,-4,-11,-3,11,-9,-3,-1
1615922402708277,-2,-1,-8,2,3,7,2,-1
1615922402722240,-3,-1,1,-4,0,0,6,-1
1615922402722240,-2,-4,0,-4,-2,-3,-28,-4
1615922402737201,-3,-4,-2,-5,-4,7,1,-1
1615922402737201,2,-4,-20,3,-15,-13,-1,0
1615922402738198,2,10,32,0,7,-3,2,0
1615922402738198,-2,-1,-5,4,1,10,7,-2
1615922402745178,-1,-2,-16,-2,-17,-15,-6,-1
1615922402745178,-3,-1,3,-1,8,4,-3,-3
1615922402759164,2,-1,-13,-4,56,4,-1,2
1615922402759164,0,0,7,-2,-37,-4,-1,0
1615922402768140,-3,0,15,6,11,-2,-2,-3
1615922402768140,-2,-4,-2,0,31,9,3,4
1615922402782102,-5,-9,-26,-5,-41,-17,-6,-2
1615922402782102,0,11,27,6,43,1,2,1
1615922402789084,-1,-4,-26,-17,-43,-9,-1,-3
1615922402789084,1,5,15,13,6,0,6,1
1615922402796089,-2,-5,-6,-5,-6,2,-31,-3
1615922402796089,-1,-1,0,4,16,-9,2,0
1615922402805076,-1,7,12,-3,-3,2,2,1
1615922402805076,-3,-5,-20,-12,2,-5,-3,0
1615922402819003,-2,0,6,8,5,0,5,-1
1615922402819003,0,-3,-8,-3,22,11,5,0
1615922402827980,3,2,19,14,6,0,-1,3
1615922402827980,-2,-1,10,-11,-10,0,-3,-2
1615922402841942,3,6,10,12,15,16,5,2
1615922402841942,-1,-7,-15,-9,-20,-7,-3,-1
1615922402848929,-1,-2,13,2,8,7,5,-1
1615922402848929,-4,-9,-2,-3,6,-4,-7,-4
1615922402855905,2,1,11,3,2,4,2,-1
1615922402855905,-1,-1,-7,1,8,0,4,-2
1615922402865250,2,4,1,-1,-22,-7,-2,1
1615922402865250,0,-1,-1,-4,-15,7,1,-2
1615922402879213,-2,0,-21,-6,2,2,-2,0
1615922402879213,-1,-3,4,0,0,-4,2,0
1615922402888188,1,6,-2,-3,6,-7,-4,-1
1615922402888188,0,1,9,-1,-9,-1,-2,-1
1615922402902151,-1,0,-9,-2,8,5,5,-2
1615922402902151,1,-3,-6,-8,-25,0,3,0
1615922402909132,0,4,15,7,38,3,0,-2
1615922402909132,0,-2,-11,-6,-6,-1,-4,-2
1615922402925090,-1,-4,1,-5,7,2,0,-2
1615922402925090,0,1,3,-1,9,-1,-1,0
1615922402927084,0,-3,-10,1,4,11,3,1
1615922402927084,-4,1,-8,-1,20,1,8,-1
1615922402939052,-2,-5,-18,-3,-18,-11,-12,-2
1615922402939052,-4,0,29,3,-3,-1,-3,-2
1615922402955009,-1,-1,-18,-7,-29,-6,-2,-1
1615922402955009,0,1,17,7,4,0,8,1
1615922402961501,0,-3,-10,-2,-12,9,5,-1
1615922402961501,-3,-9,-26,-7,23,-2,-1,-3
1615922402968482,1,6,10,-7,-43,-7,-4,-2
1615922402968482,-1,-2,-6,5,-4,-3,-7,-2
1615922402985436,-3,-2,7,-8,4,-7,0,0
1615922402985436,2,6,9,9,14,3,-1,1
1615922402986434,-4,-6,-3,2,3,-3,0,-3
1615922402986434,0,5,-5,-9,-48,-8,-7,0
1615922403007398,-3,-1,18,1,3,-10,-2,-2
1615922403007398,0,1,-14,-5,-16,-1,3,-3
1615922403009372,-1,-5,4,1,28,0,0,1
1615922403009372,-1,-5,4,4,-5,10,0,1
1615922403030317,1,9,-3,-2,-6,13,3,0
1615922403030317,1,3,-9,-6,-31,-10,-1,-1
1615922403031314,-4,-8,-3,-6,20,0,-1,-2
1615922403031314,0,-1,-1,5,21,5,5,0
1615922403045281,-4,-4,2,-1,2,-6,-2,-3
1615922403045281,-1,-5,-14,1,-1,5,0,-4
1615922403047276,-2,3,12,8,41,4,0,0
1615922403047276,1,-2,2,-1,17,-4,-2,-1
1615922403059243,0,-3,-10,0,-23,-12,5,1
1615922403059243,-2,0,5,-6,15,-6,-3,-1
1615922403068216,1,-4,13,9,8,10,-1,-1
1615922403068216,0,5,16,10,17,-37,-2,-1
1615922403082178,0,-2,2,-3,-17,4,-2,-1
1615922403082178,-2,-3,-16,-6,-4,-1,-7,-1
1615922403089159,1,1,-1,-4,-7,-8,0,1
1615922403089159,0,-2,-5,-4,-10,3,-2,-3
1615922403105142,-3,-4,-8,-2,-4,-2,-2,-3
1615922403105142,0,1,26,8,-22,1,-1,0
1615922403107139,0,3,-8,0,30,7,2,0
1615922403107139,-3,-6,-24,-10,14,-6,-3,-2
1615922403128058,1,2,26,8,-6,-7,-3,-1
1615922403128058,1,-3,1,4,-19,8,4,1
1615922403130054,-1,0,-16,1,18,6,0,-3
1615922403130054,-5,-8,-7,-4,55,13,0,-4
1615922403142020,1,-3,-18,-9,-22,-6,-14,-1
1615922403142020,0,1,12,3,4,-3,3,1
1615922403149023,-3,-5,-12,-7,-19,-3,0,-1
1615922403149023,-1,3,17,6,-18,-3,-3,-2
1615922403164956,0,1,-5,-5,10,-1,4,1
1615922403164956,1,0,-8,-5,-14,-4,-1,2
1615922403166952,1,3,-12,5,1,3,1,0
1615922403166952,-2,-3,7,-1,20,-3,4,0
1615922403178957,2,8,18,6,2,-6,1,-1
1615922403178957,-4,-8,-10,-4,12,11,-3,-4
1615922403187895,0,0,-8,-13,-44,-36,-5,-2
1615922403187895,1,1,-4,6,46,7,-4,0
1615922403201857,0,-1,-6,2,17,8,4,1
1615922403201857,-2,-2,-4,0,-9,0,-2,-1
1615922403216841,-2,-1,9,-6,-4,0,0,-1
1615922403216841,3,1,8,7,13,6,-3,-1
1615922403224823,-2,-7,-10,-5,-28,-1,-1,-2
1615922403224823,-2,-3,-11,-1,9,-8,2,-5
1615922403231780,1,1,6,-1,18,15,1,3
1615922403231780,-4,-4,0,-6,-31,-8,6,-3
1615922403238782,1,0,17,5,-29,-2,-25,-2
1615922403238782,-4,-2,0,-2,-1,-24,2,-2
1615922403247735,-2,-4,-5,6,24,1,0,-3
1615922403247735,2,9,1,-13,-84,-5,3,2
1615922403261698,-7,-6,-5,-2,69,11,6,-2
1615922403261698,0,2,10,4,-15,-8,-6,0
1615922403268680,-3,-9,-5,-5,-3,3,-5,-2
1615922403268680,3,3,-3,-2,1,1,-1,1
1615922403292642,-1,-1,0,4,-53,-13,4,-1
1615922403292642,2,4,-12,-12,-16,-1,-3,1
1615922403294641,-4,-5,-19,-3,11,-4,1,-2
1615922403294641,-5,-6,21,2,-22,23,-2,-3
1615922403298600,4,6,-3,2,9,-1,4,2
1615922403298600,1,-4,-16,5,-35,4,4,-2
1615922403307603,-3,-3,-14,-15,-23,-7,-6,-1
1615922403307603,0,1,16,10,-17,2,0,1
1615922403330541,-4,-7,-13,-9,12,12,2,-2
1615922403330541,-2,5,31,15,58,0,-3,0
1615922403331511,0,1,-10,-1,-6,4,-2,-2
1615922403331511,0,-3,-14,-2,34,1,0,-1
1615922403345499,0,5,8,1,-12,-11,6,-2
1615922403345499,-1,-5,-19,-8,12,9,1,-1
1615922403346472,2,3,41,14,-8,-23,-1,1
1615922403346472,-1,-3,-21,-6,-9,-7,0,-1
1615922403358440,1,9,28,12,0,-3,5,2
1615922403358440,1,2,-1,-7,-7,5,0,1
1615922403367415,-1,-1,-18,-9,37,-1,-4,-2
1615922403367415,-1,-2,12,15,-40,-3,1,-1
1615922403382376,-1,-7,-10,-10,10,-1,0,1
1615922403382376,3,4,24,5,-15,-5,-7,-1
1615922403388384,-2,-5,-6,-4,42,10,5,0
1615922403388384,0,1,-27,-5,5,-10,-6,0
1615922403405314,-1,-4,12,-10,-22,-4,-3,0
1615922403405314,0,2,-9,3,19,6,1,0
1615922403406336,-2,-1,10,0,-22,-3,0,-2
1615922403406336,0,-3,-9,-2,13,0,0,2
1615922403419277,-2,-4,-13,-1,13,-1,-4,-2
1615922403419277,2,2,6,-7,-23,-11,1,-1
1615922403435233,-1,5,16,12,37,8,6,0
1615922403435233,-2,0,19,5,-21,-4,-27,-5
1615922403442220,0,0,-11,-1,9,6,1,-1
1615922403442220,-4,-4,-17,-5,-8,-10,-1,-1
1615922403449197,-1,-3,5,0,7,9,0,-1
1615922403449197,-2,-2,0,-13,-4,2,5,-2
1615922403465155,-1,2,5,1,-14,2,-2,-2
1615922403465155,-2,-8,19,4,9,-15,-3,1
1615922403467150,2,0,-7,-3,-23,1,-4,0
1615922403467150,1,2,-8,-4,8,-1,4,1
1615922403479122,-1,-5,-9,-9,-2,-8,-3,-1
1615922403479122,0,-3,-2,8,3,10,2,0
1615922403495078,0,-1,9,1,-34,-4,-2,0
1615922403495078,-4,-2,-6,1,-30,-9,-6,-4
1615922403502080,-2,0,-2,-2,23,1,1,-3
1615922403502080,1,4,18,4,8,0,3,1
1615922403509037,1,-5,-17,-3,17,6,-4,-2
1615922403509037,-3,-6,-9,-9,-20,-3,1,-2
1615922403524999,-3,-3,3,1,-7,0,-3,-5
1615922403524999,0,-5,-27,-5,2,2,-1,0
1615922403526989,-1,1,10,4,-11,4,6,0
1615922403526989,-1,-5,-14,-9,25,8,-16,-1
1615922403538957,4,7,4,8,8,-8,3,1
1615922403538957,-1,-1,3,-6,-27,-4,-3,0
1615922403547959,-2,-3,-12,-7,-13,-10,-2,-1
1615922403547959,1,-1,-11,2,15,2,10,0
1615922403562063,2,7,52,18,0,16,0,2
1615922403562063,-4,-6,-14,-10,-22,-1,-7,-6
1615922403569044,1,1,0,1,-2,-31,-6,0
1615922403569044,-3,-2,0,-1,-8,-7,-5,-4
1615922403585002,-1,-6,-12,-5,1,-2,0,0
1615922403585002,-2,4,-2,0,20,0,5,0
1615922403586996,-3,-5,-17,-6,-30,0,-5,0
1615922403586996,-4,-3,16,6,64,4,3,-1
1615922403598965,-2,-6,-36,-15,-8,-7,1,0
1615922403598965,0,4,10,5,2,1,5,2
1615922403607940,-2,-5,-16,-14,-1,1,-26,-5
1615922403607940,0,5,13,12,10,4,6,0
1615922403621903,-1,-6,4,-3,-14,6,2,0
1615922403621903,1,5,2,2,31,1,5,1
1615922403628885,1,3,16,1,-8,18,6,1
1615922403628885,-1,0,-17,-10,32,1,3,-1
1615922403644853,-2,-2,21,12,-26,-6,-4,-4
1615922403644853,-1,-1,-4,-2,-1,1,-5,-1
1615922403646846,-2,0,-4,-1,-23,-12,1,-4
1615922403646846,3,1,12,3,-23,0,0,3
1615922403658829,2,-2,-37,-7,2,-8,0,0
1615922403658829,-3,-3,18,4,17,0,-3,-1
1615922403667781,0,-1,1,1,-16,5,2,-1
1615922403667781,-1,-2,-28,-9,-15,1,4,-2
1615922403681743,1,4,25,7,-9,-26,-4,1
1615922403681743,-2,-5,-6,-5,-17,1,-1,-2
1615922403696703,-1,-3,-8,-2,30,5,2,-1
1615922403696703,0,2,-6,4,-42,-3,-1,0
1615922403704682,-1,1,-10,-11,0,4,-2,-1
1615922403704682,1,2,6,5,0,-5,-2,1
1615922403711668,-2,1,1,-4,8,3,7,-1
1615922403711668,0,-2,-6,-5,2,6,-1,-1
1615922403718647,-2,-5,-4,-4,-10,-1,1,-2
1615922403718647,-1,-1,10,0,6,-2,3,-1
1615922403727650,2,1,-10,1,-6,7,-1,3
1615922403727650,0,-1,18,4,-20,0,5,0
1615922403741584,-5,-6,-15,0,25,1,-4,-3
1615922403741584,0,2,-17,-6,11,2,-3,1
1615922403750559,1,9,30,13,-12,9,8,1
1615922403750559,0,-1,-4,-1,21,-26,-7,-2
1615922403772501,0,5,13,8,2,9,0,-1
1615922403772501,-3,-2,-3,-4,-34,-6,-4,-3
1615922403775493,-2,-2,6,6,15,-5,-4,-1
1615922403775493,-2,-4,-2,-6,1,1,-2,-1
1615922403778504,-1,-1,8,0,1,-1,-3,-3
1615922403778504,2,-5,-22,-3,19,-4,0,0
1615922403787460,0,2,27,7,-5,-4,-2,-2
1615922403787460,-4,0,-4,-9,-4,12,6,-1
1615922403801423,-2,-9,-19,-4,-3,-1,-1,0
1615922403801423,-4,-7,13,2,12,9,-1,-6
1615922403810399,-1,-9,-25,-9,-10,-15,-2,-2
1615922403810399,1,1,-1,-4,5,5,-3,1
1615922403824364,-3,2,-5,-3,-14,-5,4,-1
1615922403824364,-1,-2,-10,-5,-7,0,-1,0
1615922403831343,1,-2,-11,-7,17,-6,-5,0
1615922403831343,0,4,19,8,-30,-1,3,-1
1615922403847428,0,4,-9,-8,-35,-5,-3,1
1615922403847428,0,-4,0,1,-9,3,-5,0
1615922403849348,-1,-3,-14,-4,28,-9,-3,-2
1615922403849348,3,4,26,4,0,-6,-3,-1
1615922403861316,0,-4,-6,-1,10,3,-1,2
1615922403861316,1,1,-2,1,-13,4,-2,1
1615922403870292,0,5,-9,-7,-15,12,5,0
1615922403870292,-1,-1,18,9,11,-2,-4,-1
1615922403884254,-2,-5,-4,-3,-22,-8,-5,-2
1615922403884254,-1,-6,-12,-5,13,-5,6,-2
1615922403891239,-2,-3,4,9,-13,-3,-5,0
1615922403891239,-3,1,-15,-10,9,5,2,-1
1615922403908190,-1,-2,-15,-5,38,1,10,0
1615922403908190,-3,4,39,8,-8,-3,-30,-4
1615922403909187,-1,-4,-22,5,11,-7,2,1
1615922403909187,0,-3,-4,-5,-4,14,0,0
1615922403921156,0,3,-7,2,1,-2,2,-1
1615922403921156,-3,-1,-2,-2,14,1,7,-3
1615922403930132,0,0,9,-3,0,-2,-2,-1
