timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1615922462821281,2,3,14,11,25,8,2,1
1615922462821281,-1,1,2,3,-36,-10,-2,0
1615922462828262,-4,-2,-14,0,25,5,1,-1
1615922462828262,0,-4,-10,-7,-20,-1,-3,0
1615922462844223,-2,-3,-2,-3,-18,-15,-3,-2
1615922462844223,-2,-2,7,5,4,-8,0,0
1615922462845217,-1,-2,6,-2,37,5,-2,-1
1615922462845217,0,2,-3,-5,-49,-5,-1,1
1615922462858183,-1,-5,-15,-6,10,1,2,0
1615922462858183,1,2,-10,2,18,0,0,-2
1615922462866164,-4,-2,0,0,1,-6,3,-3
1615922462866164,-1,-1,1,5,-16,-6,-1,2
1615922462881121,-2,-3,-7,-4,41,15,1,-2
1615922462881121,-1,-4,-12,-6,-26,-1,-1,1
1615922462888103,-1,-3,-1,-3,-29,2,-3,-3
1615922462888103,1,0,9,-3,37,11,1,-1
1615922462904060,1,4,5,0,-13,-1,0,0
1615922462904060,-1,-4,-35,-9,3,-7,-2,-3
1615922462905057,1,7,26,7,18,-4,1,1
1615922462905057,-4,-5,-21,3,30,3,-2,-1
1615922462919020,0,0,1,5,16,6,-1,0
1615922462919020,1,7,28,-6,-14,-2,0,0
1615922462926002,1,-1,-12,-4,-3,-2,-1,0
1615922462926002,-2,-2,-5,0,-4,-4,0,-3
1615922462948943,0,-2,-11,0,-33,-2,-2,-1
1615922462948943,-3,-5,-3,4,27,7,-3,-4
1615922462949938,0,-2,-6,-8,-63,-17,-3,-2
1615922462949938,-1,1,18,4,18,0,0,1
1615922462963900,-1,0,-2,-4,-13,11,1,-2
1615922462963900,0,-2,-4,-2,34,1,-1,-1
1615922462964898,-2,2,7,4,6,2,0,1
1615922462964898,-4,-4,-5,-3,-11,-2,-1,-2
1615922462978883,-1,-4,-15,-2,39,3,-3,0
1615922462978883,-1,-3,2,-3,-27,-7,-1,1
1615922462985841,-1,-2,-12,-5,28,4,-1,-2
1615922462985841,1,5,34,17,27,-8,-2,0
1615922463000804,-3,2,9,-2,-21,-4,-2,-2
1615922463000804,-1,-4,-19,-6,-10,4,2,2
1615922463008819,0,-4,-13,-13,-11,-6,-2,-3
1615922463008819,0,-2,11,10,9,0,2,1
1615922463024737,0,2,2,-2,-34,-5,-1,0
1615922463024737,-1,-1,0,-2,13,-15,-2,-1
1615922463024737,-2,-2,-7,-6,-19,6,-1,0
1615922463024737,1,3,-1,0,28,4,0,-2
1615922463039697,-2,-1,3,-1,-32,-6,-4,-2
1615922463039697,-3,-5,-23,-8,30,5,1,0
1615922463045681,1,8,24,15,-48,-9,0,1
1615922463045681,-2,-4,-5,-4,47,9,1,-1
1615922463060642,-1,-1,0,0,6,-6,-1,-2
1615922463060642,-1,-1,-1,-1,0,3,-1,-2
1615922463069617,0,-9,-4,-2,4,-1,-1,-2
1615922463069617,0,-2,-26,-12,-17,4,1,-2
1615922463084586,-1,4,28,11,5,0,-3,-1
1615922463084586,0,-2,-3,-3,-36,-20,-3,-2
1615922463084586,-1,-3,-10,0,14,-1,2,2
1615922463084586,-4,-3,2,-2,-30,5,-1,-4
1615922463100534,-3,-6,-20,-8,57,2,0,-3
1615922463100534,0,4,-1,1,-40,3,2,2
1615922463106519,0,3,7,0,3,-2,-2,-2
1615922463106519,0,1,-12,-7,-8,-7,-2,-2
1615922463121478,1,-4,-11,-7,1,-5,1,1
1615922463121478,-1,3,34,18,11,16,1,3
1615922463128464,0,1,-8,-2,13,-4,0,-2
1615922463128464,0,0,-3,-5,-12,-2,-1,0
1615922463144417,0,-2,5,1,-31,-4,1,-2
1615922463144417,2,2,-10,-4,24,14,2,1
1615922463145439,-2,-1,-3,-4,5,-13,-3,-2
1615922463145439,-1,-3,0,5,-12,-8,-2,0
1615922463160464,-1,2,9,3,-4,5,1,0
1615922463160464,-1,-1,-2,-7,-15,-7,-4,-3
1615922463174402,0,-3,-11,3,7,10,-1,0
1615922463174402,0,0,-4,-9,9,-4,-3,0
1615922463181491,-3,-7,-19,1,-29,-7,0,-1
1615922463181491,1,4,39,4,2,8,-1,0
1615922463188392,2,-1,1,-2,-18,-7,-5,0
1615922463188392,-2,0,6,0,-1,-4,0,-3
1615922463204323,1,-3,-7,-7,7,10,-1,-1
1615922463204323,-2,-3,-10,1,-14,-2,-3,-5
1615922463205320,0,0,-12,7,24,21,5,2
1615922463205320,1,3,17,-3,-10,0,-3,1
1615922463220401,-2,-1,-2,2,-1,-9,-2,-2
1615922463220401,-3,-7,-19,-14,-4,3,-1,-3
1615922463226385,-1,1,22,11,18,8,0,-1
1615922463226385,-1,-5,-15,1,6,4,-1,0
1615922463241345,-1,-2,-6,-3,55,2,0,1
1615922463241345,-1,-3,-7,-3,-30,-5,0,1
1615922463248472,-3,1,-6,-3,14,-1,0,-2
1615922463248472,0,-1,-6,-6,13,-4,-2,-1
1615922463264531,-2,-2,16,4,-12,-4,-1,-3
1615922463264531,1,4,3,0,-22,-9,-1,0
1615922463265429,-3,-4,-2,-3,25,7,-3,-2
1615922463265429,-2,-6,-31,-7,-17,7,2,-2
1615922463280389,1,3,36,16,-7,-16,-2,0
1615922463280389,1,1,9,4,5,1,1,2
1615922463286373,-1,0,3,0,-25,-3,2,0
1615922463286373,-2,-3,-3,-4,8,3,-2,-1
1615922463301441,-1,-4,-20,-10,-11,5,0,-1
1615922463301441,-1,2,4,7,-17,-6,-3,-3
1615922463308350,3,0,13,0,42,-6,-4,1
1615922463308350,-1,-1,-6,3,0,-2,1,-1
1615922463324296,0,2,-5,-10,-23,0,-1,2
1615922463324296,-3,-1,7,1,4,-10,-3,-5
1615922463325269,-2,-5,-17,-11,-15,-1,-1,-2
1615922463325269,1,-4,-7,0,-22,-5,-3,-1
1615922463340229,-1,3,17,9,82,19,0,0
1615922463340229,0,-4,-12,-6,-2,-9,-2,0
1615922463346238,-1,-3,3,0,-32,2,0,-1
1615922463346238,-1,-1,-6,-2,-1,-12,-2,-2
1615922463361366,1,1,-10,0,-12,5,1,1
1615922463361366,-2,-7,2,-3,-20,5,0,-2
1615922463377238,-2,-4,-12,-9,-43,-13,-1,-2
1615922463377238,3,5,13,4,25,0,1,0
1615922463384196,-1,-2,-9,2,5,-4,-2,-1
1615922463384196,-3,-4,-18,-4,31,2,-1,-1
1615922463385193,-1,-1,8,1,8,0,0,-3
1615922463385193,-1,2,7,4,-17,6,-1,1
1615922463400154,2,-2,-4,-4,-3,-14,-2,0
1615922463400154,-2,-5,-17,-9,-2,-20,-3,-3
1615922463406164,0,1,18,8,15,3,-1,0
1615922463406164,-2,-2,3,-8,14,6,-1,-1
1615922463421121,-3,-2,3,3,-11,-3,-3,-3
1615922463421121,1,0,19,9,-79,-6,-1,0
1615922463429105,-1,-1,-15,-9,64,4,-1,-2
1615922463429105,2,0,3,-4,0,-7,-2,2
1615922463444060,-1,1,6,-4,-20,-3,-1,-4
1615922463444060,-1,-4,-9,-3,13,10,1,2
1615922463445034,-2,0,-1,0,2,-5,0,-3
1615922463445034,0,-2,-2,3,-42,-5,0,-3
1615922463460065,0,-4,-22,1,26,2,0,0
1615922463460065,1,1,4,-3,-9,-17,-2,0
1615922463466069,-1,-1,-8,-5,-14,-6,-1,-1
1615922463466069,-1,-1,3,5,35,-5,-1,-2
1615922463481001,0,-4,-11,-13,-16,11,2,0
1615922463481001,-1,2,4,5,19,11,-2,-3
1615922463488979,0,0,10,3,-13,-2,-2,-1
1615922463488979,-1,-2,3,4,9,-7,1,2
1615922463503964,-2,0,5,-2,-2,2,-6,-2
1615922463503964,0,-2,-9,-2,21,7,0,-1
1615922463510919,0,-2,-5,-7,-13,-3,0,0
1615922463510919,-1,2,-1,2,3,-5,-2,-1
1615922463519895,0,0,9,-5,-5,6,1,0
1615922463519895,-2,-1,-5,-4,43,1,-1,-2
1615922463525879,-1,-6,-5,5,-9,5,0,0
1615922463525879,1,2,12,0,-7,0,1,-1
1615922463540839,1,2,11,2,1,3,0,1
1615922463540839,-3,-5,-9,-10,-27,-8,-4,-5
1615922463548842,-1,-1,-7,0,11,4,0,1
1615922463548842,0,-3,-4,5,9,5,1,1
1615922463563804,-2,2,-1,-5,-69,-14,-2,-1
1615922463563804,1,1,2,3,7,15,4,3
1615922463570783,-1,-1,0,-7,5,-6,-3,-1
1615922463570783,-2,-2,4,-3,-3,-3,-2,-2
1615922463579735,-3,-5,-12,4,12,-3,-1,-4
1615922463579735,1,4,13,-3,-20,9,0,1
1615922463585719,-3,-1,-4,7,-19,-1,0,-2
1615922463585719,2,4,19,1,-34,-5,1,-1
1615922463600917,0,-4,-15,-2,11,-2,1,1
1615922463600917,-2,-2,11,2,17,9,0,-1
1615922463608833,-2,-1,-15,-13,7,-2,-1,1
1615922463608833,2,3,25,5,-5,-3,0,-1
1615922463623800,0,-3,-17,-3,-31,-2,0,1
1615922463623800,0,1,-16,-4,97,1,3,-1
1615922463630781,0,1,17,3,-20,3,1,2
1615922463630781,-6,-5,-23,-8,6,-5,-3,-4
