timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1615918999639239,2,0,0,5,2,-8,1,-1
1615918999639239,2,0,-3,-2,-6,0,4,0
1615918999653203,-4,-2,1,3,14,6,-3,-1
1615918999653203,4,0,-1,-1,-3,1,6,1
1615918999661240,-27,-7,-6,-3,0,-4,-4,-4
1615918999661240,6,2,-7,2,0,-2,-2,-3
1615918999668223,1,3,20,5,-8,-14,-7,-2
1615918999668223,-5,-2,-2,-4,5,6,-3,-2
1615918999675905,1,-2,-3,5,-4,-1,-1,-1
1615918999675905,2,-1,7,-3,-2,2,-1,0
1615918999690870,0,-1,-9,-4,8,3,-4,0
1615918999690870,1,-1,1,4,-2,-4,-23,-1
1615918999698836,2,-2,3,-2,21,-11,-1,-1
1615918999698836,0,-2,-3,-4,-11,4,6,0
1615918999713884,0,0,-3,-2,-7,-1,-6,-2
1615918999713884,-19,-3,4,0,7,-1,13,-2
1615918999721847,7,1,-8,-3,-6,-4,-8,0
1615918999721847,4,-4,-5,1,0,4,-1,3
1615918999728823,-5,0,1,-8,7,5,1,-3
1615918999728823,2,-1,-6,2,5,2,12,0
1615918999735806,2,-1,-3,-6,-3,-10,8,1
1615918999735806,-2,0,1,2,11,-4,1,1
1615918999751443,-3,-5,-8,1,-18,-3,-2,-2
1615918999751443,0,-3,-2,-2,0,1,15,0
1615918999758771,1,5,6,0,0,0,-12,-2
1615918999758771,8,-2,1,2,-4,-2,-4,-1
1615918999773883,1,2,1,0,7,4,2,-1
1615918999773883,-5,-1,1,-5,-6,2,8,-2
1615918999782007,-5,-5,-2,6,6,3,5,-1
1615918999782007,-2,-3,-8,-8,-20,-12,-3,0
1615918999796990,1,2,8,7,0,0,-11,0
1615918999796990,-5,-1,-1,-6,-2,1,6,0
1615918999797923,9,1,-2,-2,-1,0,2,0
1615918999797923,-2,-3,1,-2,1,-11,-5,0
1615918999810915,5,-3,-8,-2,-4,-1,1,-1
1615918999810915,-1,0,-2,-1,3,4,-16,-1
1615918999819625,-3,0,1,-2,-21,-6,12,1
1615918999819625,-4,-1,-8,-4,13,13,1,0
1615918999833929,-14,0,7,1,-16,-2,12,0
1615918999833929,2,-3,-1,1,-2,-7,-7,-3
1615918999841857,3,-1,-3,-6,-3,6,-12,-1
1615918999841857,-12,-2,0,0,3,5,14,-2
1615918999856397,8,-3,-5,-6,8,-2,-6,-1
1615918999856397,7,2,-5,5,-4,-7,-2,-1
1615918999858392,-3,3,9,-5,1,2,-5,-1
1615918999858392,5,-1,-1,-1,1,-4,-7,-2
1615918999880029,-3,-2,-3,4,6,1,11,2
1615918999880029,-2,0,2,3,-4,-9,-19,-2
1615918999881072,4,-5,-11,-5,6,3,10,2
1615918999881072,6,5,13,4,-13,-9,-6,0
1615918999893650,-16,-2,-6,-4,6,1,0,-3
1615918999893650,0,-2,-1,-2,1,9,8,0
1615918999902114,-4,-1,2,5,-3,-9,-11,-3
1615918999902114,0,-1,-5,-3,1,-11,-7,-2
1615918999916448,4,-2,-4,-5,-4,2,-7,-1
1615918999916448,0,1,1,-2,-4,3,12,2
1615918999917424,-7,-5,-1,3,4,9,-1,-2
1615918999917424,1,4,-3,-3,4,-5,-17,-2
1615918999931312,7,2,2,-2,-16,-3,16,2
1615918999931312,-3,-2,-4,3,9,-7,-6,-1
1615918999938781,2,3,11,3,-13,-2,-5,0
1615918999938781,-8,-6,-7,-2,0,9,1,-3
1615918999954027,-13,-4,-4,-2,-3,-2,8,-4
1615918999954027,6,-3,-6,-4,14,-2,1,1
1615918999962006,0,2,12,9,-20,-5,-4,0
1615918999962006,-4,1,2,0,-3,-2,3,1
1615918999977130,6,0,-2,-1,-2,-3,-14,-2
1615918999977130,-11,-5,-3,-6,0,2,4,-3
1615918999977130,2,-1,-8,-6,-2,-4,-1,1
1615918999977130,6,-1,3,2,3,8,3,-2
1615918999991243,1,-3,-6,-4,2,-7,-11,0
1615918999991243,-1,0,2,-1,-7,-6,0,-2
1615918999999591,-2,-1,4,2,10,10,17,0
1615918999999591,-6,-1,-2,-2,-3,-6,-1,-2
1615919000012932,-16,-1,-7,2,6,-1,-14,-3
1615919000012932,0,0,7,2,-13,-3,1,1
1615919000022090,3,0,-6,-3,10,0,15,0
1615919000022090,-2,-3,-2,-6,-11,7,12,0
1615919000037129,3,1,5,7,9,3,7,-1
1615919000037129,1,-2,-6,-7,-6,5,-5,0
1615919000037129,-9,-3,-4,-1,3,-8,-9,-2
1615919000037129,7,0,-1,-3,-2,-8,-30,-3
1615919000051405,5,-1,7,6,-2,-1,-1,1
1615919000051405,-3,1,-1,-6,-3,0,-2,-2
1615919000059409,0,-3,-8,-3,6,10,1,0
1615919000059409,-5,0,1,1,4,1,12,-1
1615919000073821,2,0,-4,-10,-6,-3,-4,-2
1615919000073821,-1,2,7,6,-3,-5,0,-1
1615919000082107,0,-2,-4,-2,-2,-3,-17,-2
1615919000082107,-2,-4,-9,-2,0,-3,17,1
1615919000097086,0,2,9,-2,-5,2,-12,-2
1615919000097086,3,1,5,3,0,-2,2,1
1615919000097086,-17,-7,-9,-2,-3,-6,6,-3
1615919000097086,11,5,-2,-3,-2,-6,-28,-3
1615919000110929,3,-5,-5,-1,0,3,2,1
1615919000110929,-4,-1,-6,-4,-1,-6,4,0
1615919000119626,2,2,7,-1,-2,3,4,0
1615919000119626,-4,-4,-5,5,5,4,4,0
1615919000133941,3,2,0,-4,-9,-6,-1,-1
1615919000133941,2,0,3,3,10,3,-12,-2
1615919000141789,10,-2,-5,-3,2,-6,-2,0
1615919000141789,-5,-5,-1,1,-3,4,-2,-1
1615919000156372,5,2,0,-2,3,1,14,1
1615919000156372,-5,-1,-1,-2,-1,4,9,2
1615919000164375,0,-2,-7,-4,-14,1,-3,0
1615919000164375,3,4,7,1,5,-2,4,1
1615919000171181,-15,-7,-8,1,0,-7,-1,-1
1615919000171181,10,4,1,-4,-4,10,3,1
1615919000178835,0,0,1,0,-1,-15,-13,-2
1615919000178835,-7,-3,-7,-2,1,-4,5,-1
1615919000193159,2,-1,-1,-2,6,11,-1,-2
1615919000193159,-5,-2,-3,2,2,-12,-3,-2
1615919000202029,6,2,-3,-3,1,10,9,0
1615919000202029,-19,-2,0,6,11,-1,-10,-3
1615919000216784,1,-1,-5,-7,-15,-7,-12,1
1615919000216784,-2,0,0,-2,-15,9,-6,-3
1615919000217765,1,0,-1,-1,-3,-13,5,-2
1615919000217765,4,-1,-2,-2,5,-1,9,0
1615919000230727,0,0,5,1,2,2,-9,-2
1615919000230727,-3,-1,-1,-2,7,-3,-3,-1
1615919000238707,-8,-6,-3,5,5,4,-6,0
1615919000238707,9,2,6,-1,-6,7,9,2
1615919000253977,-2,0,0,1,-5,-9,-6,-3
1615919000253977,1,-3,-4,-2,7,1,9,-1
1615919000269657,-6,2,-2,-1,13,-7,3,-4
1615919000269657,8,-2,-3,0,-7,-2,-32,-2
1615919000276969,-9,-2,1,2,-1,1,3,0
1615919000276969,4,0,2,6,3,4,-3,0
1615919000277443,-5,-2,4,-5,-9,6,0,-2
1615919000277443,9,3,-1,-7,0,-9,6,0
1615919000290440,1,-1,-5,0,-9,-4,-9,0
1615919000290440,-3,-2,-5,-1,-1,-6,9,-1
1615919000298920,-1,-1,1,-1,6,-1,-6,-1
1615919000298920,-7,-1,2,0,-20,2,0,-1
1615919000313860,5,0,-4,-6,-1,-6,1,0
1615919000313860,-3,-2,-1,2,-3,2,9,0
1615919000321510,1,2,5,-3,2,0,-6,-1
1615919000321510,-1,-2,-2,0,2,0,3,0
1615919000336444,-14,-3,-1,1,11,-2,0,-1
1615919000336444,9,1,0,-6,-34,-3,-13,-2
1615919000337444,3,-3,-10,0,-7,-7,11,1
1615919000337444,-4,2,5,-2,8,1,3,-2
1615919000351441,1,-2,-4,-1,-11,1,-3,-3
1615919000351441,-3,-5,-9,-8,2,-7,2,-1
1615919000358419,3,1,-3,3,7,9,0,3
1615919000358419,-9,-3,2,-2,-5,1,11,0
1615919000375491,4,-1,-2,-1,6,4,-6,0
1615919000375491,-3,-1,-3,0,1,-6,5,0
1615919000382082,1,-3,-3,-4,6,-1,-4,0
1615919000382082,9,-1,-2,1,-13,0,3,-1
1615919000404993,-10,-2,4,1,6,-1,-1,-3
1615919000404993,-2,-2,-2,-3,7,-1,-5,-1
1615919000405924,0,-1,-1,-3,-18,-10,-6,-1
1615919000405924,-1,-2,-3,-1,19,12,4,-1
1615919000410887,4,0,2,0,-7,-2,10,-2
1615919000410887,-4,-1,5,5,13,-4,-7,-2
1615919000418872,-4,3,-1,-2,-5,-1,6,0
1615919000418872,6,-1,-6,-1,-5,-7,-6,-2
1615919000433148,-2,0,-6,-3,-7,-4,4,1
1615919000433148,-5,-6,-4,-5,11,6,7,-3
1615919000441782,4,-1,-1,2,-2,6,2,0
1615919000441782,-7,-3,2,0,-5,2,-9,-2
1615919000456836,5,1,-4,0,-3,3,14,5
1615919000456836,-2,-2,-2,-5,-5,-5,-4,-1
1615919000457861,-3,-1,5,6,3,-1,-5,-1
1615919000457861,0,-1,-5,-4,10,-3,3,-1
1615919000471564,-4,-2,1,-6,-12,-3,-3,-3
1615919000471564,7,5,0,3,-4,1,0,2
1615919000478401,1,-3,-5,-3,1,4,-7,-2
1615919000478401,4,0,5,1,-3,-3,13,2
1615919000493936,4,2,-2,1,7,2,-4,-1
1615919000493936,-3,-2,-1,-3,-1,-5,3,-1
1615919000502133,-1,-1,0,0,3,-7,-3,-2
1615919000502133,6,-2,0,2,-7,0,3,-1
1615919000516984,-6,-1,1,0,3,-1,-3,-4
1615919000516984,4,-2,-3,0,-2,2,-5,-1
1615919000516984,-3,4,7,4,3,3,3,-2
1615919000516984,-6,-3,-3,-2,-2,4,-6,-1
1615919000530771,5,1,-3,1,2,-3,-7,-2
1615919000530771,-5,-1,-5,-3,-5,8,-4,-2
1615919000538928,-1,-1,5,-5,1,-8,1,0
1615919000538928,-9,-3,-4,1,-6,-10,3,0
1615919000553947,0,0,3,-1,1,1,-30,-1
1615919000553947,3,1,2,-1,6,-7,0,-3
1615919000561876,8,-2,-3,-2,-13,9,-2,0
1615919000561876,-14,-1,-5,-3,-8,-1,-6,-5
1615919000576079,0,-1,2,1,10,-7,8,-1
1615919000576079,10,0,2,2,-3,2,1,1
1615919000584278,-12,-2,-7,-2,0,-12,-14,-3
1615919000584278,9,1,-1,0,-1,7,11,3
1615919000591359,0,-1,-2,-4,0,3,1,-2
1615919000591359,-2,-1,-1,-1,-5,-3,-10,-1
1615919000598648,-2,0,0,0,4,0,4,-3
1615919000598648,-2,0,1,0,-6,-5,-14,1
1615919000613009,9,0,-3,-1,5,6,9,1
1615919000613009,-14,-5,-2,0,6,-1,-15,-4
1615919000622060,-8,-3,-4,-4,-23,2,22,1
1615919000622060,2,-1,7,6,6,2,-6,-2
1615919000636002,12,2,-8,-4,-3,-17,4,2
1615919000636002,0,3,9,3,1,-1,1,-1
1615919000643898,-2,-3,-5,0,6,3,3,-2
1615919000643898,-5,-1,0,-4,-7,1,0,-3
1615919000650880,-6,-3,-3,3,-6,-8,-4,-1
1615919000650880,-4,0,-1,-4,-2,-9,4,-2
1615919000658834,-2,-2,-2,-6,1,2,-7,2
1615919000658834,10,-3,-6,-2,-4,-12,-10,-3
1615919000673795,-2,-4,-1,-2,0,8,0,2
1615919000673795,3,0,3,1,3,8,22,1
1615919000681796,-4,0,0,1,-12,-10,-19,-3
1615919000681796,-3,-6,-5,-4,-2,-1,4,-2
1615919000695735,-15,-4,5,0,-2,5,9,0
1615919000695735,13,4,-12,-5,-2,6,1,2
1615919000704059,5,-1,17,9,0,-5,-1,-1
1615919000704059,2,-3,-5,-3,10,1,3,0
1615919000711041,-16,1,1,0,-11,-4,-3,-5
1615919000711041,-4,-3,-1,-3,-1,5,-1,1
1615919000718022,15,0,-2,-1,0,-2,-4,0
1615919000718022,-9,1,2,-1,12,-2,-9,-3
1615919000741958,6,-3,-1,1,-1,2,1,1
1615919000741958,-4,-6,-16,-6,3,-4,-5,0
1615919000742956,6,10,24,8,-8,-2,-28,-3
1615919000742956,-5,1,-2,1,-9,-2,3,1
1615919000755920,0,-4,-2,-2,4,4,-1,-1
1615919000755920,-2,-1,-2,-1,-8,-3,-3,-4
1615919000763899,2,-4,-11,-7,0,4,4,2
1615919000763899,0,1,0,-1,15,-3,5,1
1615919000779197,3,2,1,-2,-17,-4,-16,-3
1615919000779197,3,1,2,3,3,-5,2,2
1615919000780193,-20,-4,-9,-6,5,10,5,-3
1615919000780193,-6,-4,2,-3,-8,-7,-1,-2
1615919000793183,4,-1,-4,2,7,2,10,3
1615919000793183,0,0,0,-1,-9,-7,6,-2
1615919000801274,-3,-2,-4,4,-2,4,-25,-4
1615919000801274,7,-1,-2,-3,-1,-2,11,3
1615919000816235,3,1,5,2,7,0,3,-1
1615919000816235,-8,-5,-1,3,-7,1,-9,-2
1615919000824527,5,4,2,-9,6,-1,6,0
1615919000824527,-7,0,-2,2,-26,-5,-7,-2
1615919000847700,16,-1,-3,-4,8,-4,3,0
1615919000847700,-15,-4,-7,-4,-6,1,9,-2
1615919000847700,5,3,9,11,20,-3,-1,1
1615919000847700,0,-3,1,1,3,7,-6,-2
1615919000853684,-2,1,-1,-5,-7,-3,6,1
1615919000853684,-3,-3,-3,-1,5,6,0,2
1615919000861664,2,-4,-11,-5,-2,4,9,1
1615919000861664,-12,1,1,-6,-9,-18,-3,-6
1615919000876047,-2,-3,2,8,2,5,-15,-3
1615919000876047,-2,1,4,-3,11,-10,0,-1
1615919000884007,1,-5,-10,-6,-35,2,8,0
1615919000884007,-1,2,2,2,11,2,-4,-1
1615919000899583,-25,-3,4,-3,-7,-2,-4,-3
1615919000899583,6,-3,-1,-3,-7,-3,-6,-2
1615919000900422,1,-4,-4,-4,-5,-6,11,1
1615919000900422,3,-1,-5,2,-2,0,-1,-2
1615919000915457,-3,0,-4,-2,14,8,3,-1
1615919000915457,-4,0,5,-1,-5,-6,-13,0
1615919000922133,-7,-3,-1,1,1,-8,2,-4
1615919000922133,4,-2,-6,-3,-2,2,14,-2
1615919000936566,3,-1,3,-1,3,-1,-8,0
1615919000936566,4,0,6,2,-13,0,7,2
